throughput: $100000$, workers: $1$, logging frequency: $1$ second
Worker $0$, elements/second: $1324$, MB/sec: $0.11237716674804688$
Worker $0$, elements/second: $5342$, MB/sec: $0.4534130096435547$
Worker $0$, elements/second: $5828$, MB/sec: $0.4946632385253906$
Worker $0$, elements/second: $6942$, MB/sec: $0.5892162322998047$
Worker $0$, elements/second: $7828$, MB/sec: $0.6644172668457031$
Worker $0$, elements/second: $7887$, MB/sec: $0.6694250106811523$
Worker $0$, elements/second: $10109$, MB/sec: $0.8580217361450195$
Worker $0$, elements/second: $8938$, MB/sec: $0.7586307525634766$
Worker $0$, elements/second: $10856$, MB/sec: $0.9214248657226562$
Worker $0$, elements/second: $11296$, MB/sec: $0.958770751953125$
Worker $0$, elements/second: $11750$, MB/sec: $0.9973049163818359$
Worker $0$, elements/second: $11383$, MB/sec: $0.9661550521850586$
Worker $0$, elements/second: $11215$, MB/sec: $0.9518957138061523$
Worker $0$, elements/second: $13278$, MB/sec: $1.1269969940185547$
Worker $0$, elements/second: $14136$, MB/sec: $1.1998214721679688$
Worker $0$, elements/second: $14249$, MB/sec: $1.2094125747680664$
Worker $0$, elements/second: $18811$, MB/sec: $1.5966215133666992$
Worker $0$, elements/second: $27301$, MB/sec: $2.317227363586426$
Worker $0$, elements/second: $25167$, MB/sec: $2.1360998153686523$
Worker $0$, elements/second: $23356$, MB/sec: $1.9823875427246094$
Worker $0$, elements/second: $10790$, MB/sec: $0.9158229827880859$
Worker $0$, elements/second: $10990$, MB/sec: $0.9327983856201172$
Worker $0$, elements/second: $13785$, MB/sec: $1.170029640197754$
Worker $0$, elements/second: $11588$, MB/sec: $0.9835548400878906$
Worker $0$, elements/second: $17582$, MB/sec: $1.4923076629638672$
Worker $0$, elements/second: $10390$, MB/sec: $0.8818721771240234$
Worker $0$, elements/second: $10789$, MB/sec: $0.9157381057739258$
Worker $0$, elements/second: $6768$, MB/sec: $0.5744476318359375$
Worker $0$, elements/second: $24914$, MB/sec: $2.114625930786133$
Worker $0$, elements/second: $14294$, MB/sec: $1.2132320404052734$
Worker $0$, elements/second: $17158$, MB/sec: $1.456319808959961$
Worker $0$, elements/second: $11104$, MB/sec: $0.942474365234375$
Worker $0$, elements/second: $13598$, MB/sec: $1.1541576385498047$
Worker $0$, elements/second: $9128$, MB/sec: $0.7747573852539062$
Worker $0$, elements/second: $12046$, MB/sec: $1.0224285125732422$
Worker $0$, elements/second: $11783$, MB/sec: $1.000105857849121$
Worker $0$, elements/second: $4821$, MB/sec: $0.4091920852661133$
Worker $0$, elements/second: $14645$, MB/sec: $1.2430238723754883$
Worker $0$, elements/second: $12083$, MB/sec: $1.025568962097168$
Worker $0$, elements/second: $9895$, MB/sec: $0.8398580551147461$
Worker $0$, elements/second: $16383$, MB/sec: $1.3905401229858398$
Worker $0$, elements/second: $9990$, MB/sec: $0.8479213714599609$
Worker $0$, elements/second: $11189$, MB/sec: $0.9496889114379883$
Worker $0$, elements/second: $18313$, MB/sec: $1.5543527603149414$
Worker $0$, elements/second: $8685$, MB/sec: $0.737156867980957$
Worker $0$, elements/second: $16186$, MB/sec: $1.373819351196289$
Worker $0$, elements/second: $9870$, MB/sec: $0.8377361297607422$
Worker $0$, elements/second: $10659$, MB/sec: $0.9047040939331055$
Worker $0$, elements/second: $12633$, MB/sec: $1.072251319885254$
Worker $0$, elements/second: $13422$, MB/sec: $1.1392192840576172$
Worker $0$, elements/second: $11844$, MB/sec: $1.0052833557128906$
Worker $0$, elements/second: $11843$, MB/sec: $1.0051984786987305$
Worker $0$, elements/second: $13422$, MB/sec: $1.1392192840576172$
Worker $0$, elements/second: $15002$, MB/sec: $1.273324966430664$
Worker $0$, elements/second: $9080$, MB/sec: $0.7706832885742188$
Worker $0$, elements/second: $15792$, MB/sec: $1.3403778076171875$
Worker $0$, elements/second: $9869$, MB/sec: $0.837651252746582$
Worker $0$, elements/second: $15397$, MB/sec: $1.3068513870239258$
Worker $0$, elements/second: $13027$, MB/sec: $1.1056928634643555$
Worker $0$, elements/second: $12633$, MB/sec: $1.072251319885254$
Worker $0$, elements/second: $11054$, MB/sec: $0.9382305145263672$
Worker $0$, elements/second: $14213$, MB/sec: $1.2063570022583008$
Worker $0$, elements/second: $8685$, MB/sec: $0.737156867980957$
Worker $0$, elements/second: $14212$, MB/sec: $1.2062721252441406$
